scheme,window,replicate,w,S_GC,N,mean_k
block,Post-transition,22,100,0.7514518002322881,1722,2.596980255516841
block,Post-transition,22,150,0.7065972222222222,1152,2.21875
block,Post-transition,22,200,0.6467065868263473,835,2.0287425149700598
block,Post-transition,22,300,0.5211538461538462,520,1.823076923076923
block,Post-transition,22,400,0.36883116883116884,385,1.625974025974026
block,Post-transition,22,600,0.12962962962962962,216,1.4351851851851851
block,Post-transition,22,800,0.10493827160493827,162,1.2592592592592593
block,Post-transition,23,25,0.9064885496183206,5764,4.837612768910478
block,Post-transition,23,50,0.8542300669506999,3286,3.524650030432136
block,Post-transition,23,75,0.7922912205567452,2335,2.966167023554604
block,Post-transition,23,100,0.7742465753424658,1825,2.6586301369863015
block,Post-transition,23,150,0.717741935483871,1240,2.2951612903225804
block,Post-transition,23,200,0.6594360086767896,922,2.0759219088937093
block,Post-transition,23,300,0.5577617328519856,554,1.8447653429602888
block,Post-transition,23,400,0.4233576642335766,411,1.6204379562043796
block,Post-transition,23,600,0.13580246913580246,243,1.4156378600823045
block,Post-transition,23,800,0.11764705882352941,170,1.3294117647058823
block,Post-transition,24,25,0.9030575539568345,5560,4.778057553956835
block,Post-transition,24,50,0.8462011688711166,3251,3.491848661950169
block,Post-transition,24,75,0.8075916230366492,2292,2.979057591623037
block,Post-transition,24,100,0.7687671232876713,1825,2.591780821917808
block,Post-transition,24,150,0.7092547092547092,1221,2.250614250614251
block,Post-transition,24,200,0.6547486033519553,895,2.071508379888268
block,Post-transition,24,300,0.5339449541284403,545,1.8311926605504587
block,Post-transition,24,400,0.43209876543209874,405,1.5950617283950617
block,Post-transition,24,600,0.14957264957264957,234,1.4273504273504274
block,Post-transition,24,800,0.12962962962962962,162,1.3333333333333333
binomial_full,Neutral,0,25,0.8845703125,5120,4.234375
binomial_full,Neutral,0,50,0.8270142180094787,2954,3.146919431279621
binomial_full,Neutral,0,75,0.7753587333003463,2021,2.689757545769421
binomial_full,Neutral,0,100,0.7223276407337128,1581,2.3845667299177737
binomial_full,Neutral,0,150,0.6082771896053898,1039,2.0384985563041385
binomial_full,Neutral,0,200,0.5437665782493368,754,1.8143236074270557
binomial_full,Neutral,0,300,0.3594080338266385,473,1.5856236786469344
binomial_full,Neutral,0,400,0.1949685534591195,318,1.4465408805031446
binomial_full,Neutral,0,600,0.12138728323699421,173,1.2947976878612717
binomial_full,Neutral,0,800,0.09259259259259259,108,1.2777777777777777
binomial_full,Neutral,1,25,0.8824564834734989,5113,4.221396440445922
binomial_full,Neutral,1,50,0.8293261090416526,2953,3.1466305452082626
binomial_full,Neutral,1,75,0.78,2050,2.682926829268293
binomial_full,Neutral,1,100,0.7248576850094877,1581,2.3757115749525615
binomial_full,Neutral,1,150,0.6162679425837321,1045,2.0382775119617227
binomial_full,Neutral,1,200,0.5389696169088507,757,1.8071334214002641
binomial_full,Neutral,1,300,0.3628691983122363,474,1.5780590717299579
binomial_full,Neutral,1,400,0.1829652996845426,317,1.4511041009463723
binomial_full,Neutral,1,600,0.11176470588235295,170,1.2941176470588236
binomial_full,Neutral,1,800,0.08411214953271028,107,1.2710280373831775
binomial_full,Neutral,2,25,0.883177570093458,5136,4.230919003115265
binomial_full,Neutral,2,50,0.8212722988892629,2971,3.130259171995961
binomial_full,Neutral,2,75,0.7775590551181102,2032,2.687007874015748
binomial_full,Neutral,2,100,0.7311557788944724,1592,2.3844221105527637
binomial_full,Neutral,2,150,0.6046738072054528,1027,2.0408958130477117
binomial_full,Neutral,2,200,0.5398936170212766,752,1.821808510638298
binomial_full,Neutral,2,300,0.3577405857740586,478,1.5815899581589958
binomial_full,Neutral,2,400,0.1930379746835443,316,1.4556962025316456
binomial_full,Neutral,2,600,0.11046511627906977,172,1.302325581395349
binomial_full,Neutral,2,800,0.08256880733944955,109,1.2660550458715596
binomial_full,Neutral,3,25,0.8835216205687573,5134,4.19205298013245
binomial_full,Neutral,3,50,0.8327175008397716,2977,3.1494793416190796
binomial_full,Neutral,3,75,0.7836514929025942,2043,2.6862457170827216
binomial_full,Neutral,3,100,0.7283563362609786,1594,2.3789209535759097
binomial_full,Neutral,3,150,0.6019323671497585,1035,2.0367149758454106
binomial_full,Neutral,3,200,0.5333333333333333,750,1.8106666666666666
binomial_full,Neutral,3,300,0.35789473684210527,475,1.5789473684210527
binomial_full,Neutral,3,400,0.19242902208201892,317,1.4700315457413249
binomial_full,Neutral,3,600,0.12352941176470589,170,1.3058823529411765
binomial_full,Neutral,3,800,0.08928571428571429,112,1.2678571428571428
binomial_full,Neutral,4,25,0.8774873195474053,5126,4.215762777994538
binomial_full,Neutral,4,50,0.8283305227655986,2965,3.1581787521079256
binomial_full,Neutral,4,75,0.7878787878787878,2046,2.6989247311827955
binomial_full,Neutral,4,100,0.7338811630847029,1582,2.3969658659924145
binomial_full,Neutral,4,150,0.6071774975751697,1031,2.046556741028128
binomial_full,Neutral,4,200,0.5381578947368421,760,1.8236842105263158
binomial_full,Neutral,4,300,0.37473684210526315,475,1.6042105263157895
binomial_full,Neutral,4,400,0.19122257053291536,319,1.4608150470219436
binomial_full,Neutral,4,600,0.11242603550295859,169,1.301775147928994
binomial_full,Neutral,4,800,0.09090909090909091,110,1.2727272727272727
binomial_full,Neutral,5,25,0.8782625633034671,5134,4.209583171016751
binomial_full,Neutral,5,50,0.824105334233626,2962,3.1532748143146523
binomial_full,Neutral,5,75,0.7789731051344744,2045,2.684596577017115
binomial_full,Neutral,5,100,0.7296272899557802,1583,2.3790271636133924
binomial_full,Neutral,5,150,0.6184084372003835,1043,2.034515819750719
binomial_full,Neutral,5,200,0.533508541392904,761,1.8055190538764783
binomial_full,Neutral,5,300,0.36752136752136755,468,1.5854700854700854
binomial_full,Neutral,5,400,0.1892744479495268,317,1.4637223974763407
binomial_full,Neutral,5,600,0.10404624277456648,173,1.2947976878612717
binomial_full,Neutral,5,800,0.09090909090909091,110,1.2727272727272727
binomial_full,Neutral,6,25,0.8824102964118564,5128,4.228939157566303
binomial_full,Neutral,6,50,0.8336713995943205,2958,3.156862745098039
binomial_full,Neutral,6,75,0.7828655834564254,2031,2.7050713934022648
binomial_full,Neutral,6,100,0.7275600505689002,1582,2.3881163084702908
binomial_full,Neutral,6,150,0.6085271317829457,1032,2.0406976744186047
binomial_full,Neutral,6,200,0.5272244355909694,753,1.798140770252324
binomial_full,Neutral,6,300,0.3684210526315789,475,1.5957894736842104
binomial_full,Neutral,6,400,0.1875,320,1.45625
binomial_full,Neutral,6,600,0.11560693641618497,173,1.2947976878612717
binomial_full,Neutral,6,800,0.08411214953271028,107,1.2710280373831775
binomial_full,Neutral,7,25,0.8844800625488664,5116,4.2255668491008604
binomial_full,Neutral,7,50,0.828083109919571,2984,3.1441018766756033
binomial_full,Neutral,7,75,0.7813267813267813,2035,2.6997542997542996
binomial_full,Neutral,7,100,0.7271004421983576,1583,2.3840808591282374
binomial_full,Neutral,7,150,0.6108422071636012,1033,2.0561471442400774
binomial_full,Neutral,7,200,0.5391766268260292,753,1.8273572377158034
binomial_full,Neutral,7,300,0.3642105263157895,475,1.5873684210526315
binomial_full,Neutral,7,400,0.1962025316455696,316,1.4683544303797469
binomial_full,Neutral,7,600,0.1144578313253012,166,1.2891566265060241
binomial_full,Neutral,7,800,0.09433962264150944,106,1.2830188679245282
binomial_full,Neutral,8,25,0.8861279593034631,5111,4.21678732146351
binomial_full,Neutral,8,50,0.824442943956786,2962,3.136394328156651
