scheme,window,w,S_GC,lo,hi,mean_k,N
multinomial,Post-transition,75,0.7901150825270469,0.7815352896163164,0.7959658583142423,2.94656729680354,2243.84
multinomial,Post-transition,100,0.7558354249675516,0.744806060519179,0.7683310963217946,2.5844936868534023,1743.12
multinomial,Post-transition,150,0.6978104629340262,0.6860116225247804,0.709516632289599,2.232650697776122,1185.04
multinomial,Post-transition,200,0.6563492902673111,0.6351545378771964,0.6722503438975964,2.0586594716073146,858.08
multinomial,Post-transition,300,0.5188174236716367,0.5015002590274569,0.5405835790226035,1.7977132914313734,532.56
multinomial,Post-transition,400,0.40251141118491207,0.3377199100984267,0.4316260954235638,1.6055522897499481,393.84
multinomial,Post-transition,600,0.1423256080447223,0.11821420363134912,0.1668118977796397,1.4362604641184822,221.8
multinomial,Post-transition,800,0.10227369468707796,0.0875,0.12132941368610159,1.291464886231556,158.76
multinomial,Pre-transition,25,0.8888904888688951,0.8843325743899701,0.8942193949712683,4.384115744449217,5625.0
multinomial,Pre-transition,50,0.8262670132561095,0.8153314076150829,0.8341322698876468,3.2399081347395655,3186.36
multinomial,Pre-transition,75,0.7845669831439425,0.7732588453486609,0.7964563089404356,2.749680940412371,2233.96
multinomial,Pre-transition,100,0.7475038984430361,0.7357252595179473,0.7577779094254566,2.452450775908201,1701.16
multinomial,Pre-transition,150,0.6265766743896632,0.6173067076292883,0.6365471149398144,2.091030759489473,1118.16
multinomial,Pre-transition,200,0.5631576734611576,0.5475206176522197,0.5721527676354607,1.8847708171275754,823.36
multinomial,Pre-transition,300,0.4100853599817107,0.3857521371794231,0.4425749559082892,1.662282546082403,487.88
multinomial,Pre-transition,400,0.31865791080509337,0.30301094412734986,0.3311229946524064,1.5021727666153089,330.04
multinomial,Pre-transition,600,0.1770048031507155,0.15741426104120404,0.18402171805313167,1.357327997655097,191.2
multinomial,Pre-transition,800,0.14205563730952658,0.10120788302606484,0.17857453281182095,1.3301370208290482,117.0
raw,Neutral,25,0.8873494969487052,0.8873494969487052,0.8873494969487052,4.619825169058222,6063.0
raw,Neutral,50,0.8519148936170213,0.8519148936170213,0.8519148936170213,3.4507801418439716,3525.0
raw,Neutral,75,0.8085021851410409,0.8085021851410409,0.8085021851410409,2.925705204608661,2517.0
raw,Neutral,100,0.7740259740259741,0.7740259740259741,0.7740259740259741,2.617142857142857,1925.0
raw,Neutral,150,0.6965098634294385,0.6965098634294385,0.6965098634294385,2.236722306525038,1318.0
raw,Neutral,200,0.5886010362694301,0.5886010362694301,0.5886010362694301,1.993782383419689,965.0
raw,Neutral,300,0.45792880258899676,0.45792880258899676,0.45792880258899676,1.7055016181229774,618.0
raw,Neutral,400,0.35697940503432496,0.35697940503432496,0.35697940503432496,1.5606407322654463,437.0
raw,Neutral,600,0.152,0.152,0.152,1.416,250.0
raw,Neutral,800,0.06790123456790123,0.06790123456790123,0.06790123456790123,1.2592592592592593,162.0
raw,Post-transition,25,0.923747517104392,0.923747517104392,0.923747517104392,6.785477819465902,9062.0
