scheme,w,contrast,n_replicates,mean_difference,ci_lo,ci_hi,share_positive
hypergeometric,150,Post-transition - Pre-transition,25,0.07328929906896327,0.05962496583761172,0.09051418713321818,1.0
hypergeometric,150,Pre-transition - Neutral,25,0.0133151470598994,0.0006972687619697829,0.027965448044796594,0.96
hypergeometric,200,Post-transition - Neutral,25,0.12910058809011285,0.10885884310577129,0.15063324625167493,1.0
hypergeometric,200,Post-transition - Pre-transition,25,0.1104984632641749,0.07917015356313917,0.14413038071894235,1.0
hypergeometric,200,Pre-transition - Neutral,25,0.01860212482593797,-0.016254707600546814,0.04025747116717797,0.92
hypergeometric,300,Post-transition - Neutral,25,0.15444555894113773,0.13635403759308518,0.17497224472969714,1.0
hypergeometric,300,Post-transition - Pre-transition,25,0.1100813552738515,0.08916954668855538,0.1393169083428988,1.0
hypergeometric,300,Pre-transition - Neutral,25,0.04436420366728624,0.024976686789897853,0.06327903235262408,1.0
hypergeometric,400,Post-transition - Neutral,25,0.22394457632317105,0.19100509504453814,0.25789260380708495,1.0
hypergeometric,400,Post-transition - Pre-transition,25,0.0913349914400533,0.056552116706958575,0.12612480774941645,1.0
hypergeometric,400,Pre-transition - Neutral,25,0.13260958488311775,0.11601154330294772,0.14606349350032932,1.0
hypergeometric,600,Post-transition - Neutral,25,0.0344390763930049,0.0011097511219910262,0.07311875676857998,0.96
hypergeometric,600,Post-transition - Pre-transition,25,-0.030175728319876468,-0.05937531165742175,-0.012923653117180228,0.0
hypergeometric,600,Pre-transition - Neutral,25,0.06461480471288138,0.049362702143482026,0.08853151670048316,1.0
hypergeometric,800,Post-transition - Neutral,25,0.011385671153122105,0.0013627724966113254,0.03041588119597518,1.0
hypergeometric,800,Post-transition - Pre-transition,25,-0.037614434706142,-0.07524879417069934,-0.008085158953391007,0.0
hypergeometric,800,Pre-transition - Neutral,25,0.049000105859264106,0.030255300825408688,0.08426724875877417,1.0
multinomial,25,Post-transition - Neutral,25,0.02269342285066044,0.014950605583599553,0.03141875635402408,1.0
multinomial,25,Post-transition - Pre-transition,25,0.0132848188977604,0.006446996861045773,0.020313495219388855,1.0
multinomial,25,Pre-transition - Neutral,25,0.009408603952900042,0.002769868831914701,0.017885622618907332,1.0
multinomial,50,Post-transition - Neutral,25,0.01790906395789092,0.007787209754152791,0.0274925543068381,1.0
multinomial,50,Post-transition - Pre-transition,25,0.019121826681213122,0.006604970700054324,0.031187598443501094,1.0
multinomial,50,Pre-transition - Neutral,25,-0.0012127627233222027,-0.01112328871575694,0.010123194756509597,0.4
multinomial,75,Post-transition - Neutral,25,0.011057453263754943,-0.0022820629045804835,0.022459699572596102,0.96
multinomial,75,Post-transition - Pre-transition,25,0.005548099383104414,-0.0074207099349449905,0.019474871693029746,0.76
multinomial,75,Pre-transition - Neutral,25,0.00550935388065053,-0.015035006488912005,0.020336052510716372,0.68
multinomial,100,Post-transition - Neutral,25,0.030198701220473367,0.01344682273393345,0.04697078419152765,1.0
multinomial,100,Post-transition - Pre-transition,25,0.00833152652451548,-0.01083153975051072,0.022466535372440675,0.8
multinomial,100,Pre-transition - Neutral,25,0.021867174695957888,0.0032228000150148267,0.04178264562148981,1.0
multinomial,150,Post-transition - Neutral,25,0.08397345489657221,0.06561321974495105,0.10314742265445714,1.0
